name,shortName,stationId,totalDocks,hasKiosk,hasKeyDispenser,rentalMethods,lon,lat,deploymentYear,initialCount
University Park,M32040,f83513a7-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10006093978882,42.36264779118595,2015,19
MIT Pacific St at Purrington St,M32041,f835141c-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10129475593567,42.35957320109044,2015,18
MIT Vassar St,M32042,f8351490-0de8-11e7-991c-3863bb43a7d0,53,True,False,"['CREDITCARD', 'KEY']",-71.10394477844238,42.35560121327927,2015,50
Mt Auburn,M32043,f83514f9-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.13320231437683,42.37478628706384,2015,18
Huron Ave At Vassal Lane,M32044,f8351569-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.13426981498378,42.381650612901176,2017,19
Museum of Science,M32045,f83515d8-0de8-11e7-991c-3863bb43a7d0,19,True,True,"['CREDITCARD', 'KEY']",-71.07116281986237,42.36769018024484,2017,16
Alewife MBTA at Steel Place,M32046,f8351649-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.14260613918304,42.39558845716709,2016,17
Sidney Research Campus/Erie Street at Waverly,M32047,f83516b8-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10393404960632,42.35775309465199,2016,16
Third at Binney,M32048,f8351726-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.08277142047882,42.36544486137399,2016,11
Kendall T,M32004,f8351e42-0de8-11e7-991c-3863bb43a7d0,23,True,True,"['CREDITCARD', 'KEY']",-71.08495473861694,42.3624278429124,2016,20
Child Street at Brian P. Murphy Staircase,M32049,f83520d8-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.07200495972165,42.37197678467975,2016,20
Verizon Innovation Hub 10 Ware Street,M32050,fbb9b58c-2b92-4bcf-8e4c-a982e40d2f39,19,True,False,"['CREDITCARD', 'KEY']",-71.11305356025696,42.37250864997261,2017,15
Fresh Pond Reservation,M32051,1331197c-f6c6-4f4a-a29b-95e580359886,17,True,False,"['CREDITCARD', 'KEY']",-71.143478951426,42.38267827521855,2017,15
Cambridge Dept. of Public Works -147 Hampshire St.,M32052,7560f0e3-267b-4fb3-bbfa-6e02010cfcb7,19,True,False,"['CREDITCARD', 'KEY']",-71.09759867191315,42.37119727759414,2017,16
